Time,Hand:x,Hand:y,Hand:z
178.512,279.02991,268.51437,143.0881
178.929,292.24954,268.80258,136.69264
179.346,295.11765,267.05487,131.37201
179.763,297.44489,267.2897,129.74547
180.18,299.33853,268.31995,127.05084
180.597,300.69409,267.48712,126.52595
181.014,302.32471,269.31824,126.51786
181.431,304.10645,271.85995,123.52404
181.848,302.87619,281.5799,138.45348
182.265,310.52725,308.80258,134.44044
182.682,329.92404,318.42838,123.83162
183.1,332.8522,317.88498,126.01476
183.517,333.09332,318.07019,139.69212
183.934,334.10962,316.60678,137.10313
184.351,307.39474,315.58054,86.0374
184.768,314.61536,319.36374,79.84126
185.185,317.40817,319.36011,80.20962
185.602,318.1301,319.45166,80.68052
186.019,318.05627,320.12582,79.05615
186.436,329.60645,327.84918,94.69555
186.853,367.16251,300.09601,137.03671
187.27,331.11688,332.42871,106.81045
187.688,348.69308,337.71887,106.89218
188.105,328.77805,325.0986,90.49459
188.522,324.35721,324.43253,96.02277
188.939,297.54825,285.11191,166.78319
189.356,220.10036,199.51962,386.35205
189.773,122.33278,214.76613,394.91681
190.19,13.183,302.29514,359.61975
190.607,169.30826,261.33737,348.03696
191.024,227.74155,200.04288,256.39166
191.441,213.10571,151.98251,135.79362
191.858,201.55132,146.37686,84.85807
192.275,186.98477,140.17622,101.25009
192.693,261.35181,245.95752,115.82878
193.11,286.21698,288.80414,115.49943
193.527,283.44043,320.01987,112.91535
193.944,289.72452,348.00726,97.25424
194.361,296.45639,359.34882,94.3456
194.778,299.78513,363.40872,90.92329
195.195,312.32004,351.74258,111.10589
195.612,321.41061,352.793,98.44093
196.029,323.29254,348.45642,103.7015
196.446,323.22742,341.43704,103.25132
196.863,321.92099,336.56049,94.33313
197.28,314.37796,339.927,74.31336
197.697,315.62378,345.46964,69.82752
198.115,316.94681,346.19296,67.85075
198.532,319.91916,346.34515,66.8671
198.949,322.21814,347.19312,64.82048
199.366,324.50708,348.53714,65.22222
199.783,269.69675,282.0994,183.30293
200.2,234.45319,245.25424,266.06671
200.617,238.43581,254.92834,258.20276
201.034,207.20877,237.7326,322.62784
201.451,286.70877,221.70378,326.28149
201.868,126.95165,116.95596,472.54965
202.285,93.03728,132.22714,313.84766
202.702,155.92305,176.33009,263.99564
203.12,289.57306,260.80145,129.09715
203.537,311.47302,277.56714,121.37647
203.954,298.90823,277.9375,113.22619
204.371,306.4624,274.94171,113.09805
204.788,311.08408,278.2724,109.3498
205.205,307.07837,283.16638,115.14889
205.622,306.97296,299.00476,108.76304
206.039,307.79962,307.38019,109.60992
206.456,302.24118,309.60928,108.64949
206.873,302.5022,309.97949,109.24874
207.29,308.54086,306.29346,106.01479
207.708,317.45743,296.93707,115.43438
208.125,324.29404,293.14731,119.69691
208.542,171.09929,118.00905,234.35141
208.959,320.43216,260.7272,139.37827
209.376,326.13171,260.63022,141.77022
209.793,327.52734,262.67334,140.76723
210.21,152.52756,91.74939,248.59464
210.627,253.20557,196.25252,164.1581
211.044,302.01093,240.1978,124.61951
211.461,308.09955,270.39529,135.68552
211.878,302.62216,320.37509,104.84207
212.295,310.6131,321.71344,95.92809
212.712,170.53789,116.65604,309.87076
213.13,275.26611,262.12967,132.05077
213.547,107.98489,63.10836,282.33173
213.964,237.7966,230.05077,132.39812
214.381,143.72197,67.76046,191.561
214.798,289.02539,296.96497,120.03984
215.215,301.39661,293.46924,125.44195
215.632,308.37674,299.08057,133.80148
216.049,323.65244,308.73013,132.11035
216.466,331.79346,316.29523,131.09033
216.883,334.52979,316.20996,123.24089
217.3,304.25677,292.38995,151.74429
217.717,224.51006,204.43361,169.01894
218.135,162.49396,176.90422,268.20972
218.552,107.7301,128.21196,315.4166
218.969,118.1992,141.17543,315.43561
219.386,248.95717,219.85121,144.15347
219.803,305.39484,266.7287,101.30169
220.22,305.85062,261.98145,100.31933
220.637,309.03806,261.13123,98.94841
221.054,309.29895,261.86487,98.25013
221.471,310.44421,263.78024,97.35174
221.888,312.75577,269.36023,101.64751
222.305,309.65125,272.2345,101.88427
222.723,315.25037,269.81696,103.01352
223.14,315.63654,269.52087,101.63322
223.557,313.76132,270.25967,99.02597
223.974,313.1593,270.00323,101.96239
224.391,314.81354,276.82742,133.79703
224.808,312.99887,318.73938,121.94993
225.225,321.05496,323.59167,108.58195
225.642,321.71472,338.11789,104.75813
226.059,323.44382,340.05667,101.96377
226.476,318.66367,344.78345,104.36166
226.893,324.26395,342.58069,100.06831
227.31,331.1965,337.54413,80.40654
227.728,373.09348,321.94446,53.93898
228.145,392.92078,306.85269,41.28897
228.562,375.69446,300.43567,35.0627
228.979,376.69821,300.4603,45.21725
229.396,376.11639,315.69345,59.15349
229.813,379.95578,326.20267,55.857
230.23,379.27979,330.5058,53.32411
230.647,381.65543,331.21033,53.0372
231.064,378.15042,323.18536,52.25845
231.481,381.07886,325.64478,52.89956
231.898,381.16153,325.47775,58.47654
